ID       Name                                               Visual Only    Description
--------------------------------------------------------------------------------------------------------------------------------------------
8600     Herb of Life                                       No             Heals the player for 15 to 100% of their maximum HP.
8601     Greater Herb of Life                               No             Heals the player for 15 to 100% of their maximum HP.
8602     Superior Herb of Life                              No             Heals the player for 15 to 100% of their maximum HP.
8603     Herb of Mana                                       No             Restores 12 to 100% of the player's maximum MP.
8604     Greater Herb of Mana                               No             Restores 12 to 100% of the player's maximum MP.
8605     Superior Herb of Mana                              No             Restores 12 to 100% of the player's maximum MP.
8606     Herb of Power                                      No             Applies a buff: pAtk multiply 1.15.
8607     Herb of Magic                                      No             Applies a buff: mAtk multiply 1.75.
8608     Herb of Atk. Spd.                                  No             Applies a buff: pAtkSpd multiply 1.33.
8609     Herb of Casting Spd.                               No             Applies a buff: mAtkSpd multiply 1.3.
8610     Herb of Critical Attack.                           No             Applies the 'Herb of Critical Attack' buff effect.
8611     Herb of Speed                                      No             Applies a buff: runSpd add 33.
8612     Herb of the Warrior                                No             Applies a buff: pAtk multiply 1.15.
8613     Herb of the Mystic                                 No             Applies a buff: mAtk multiply 1.75.
8614     Herb of Recovery                                   No             Heals the player for 15 to 100% of their maximum HP.
